model_id,model,vendor,surface_id,surface,counts_as,lifecycle,exposure,state_is_terminal,last_event,last_event_date,last_event_precision,known_as_of,model_superseded_by,open_questions
gpt-5-5,GPT-5.5,OpenAI,microsoft-foundry,Microsoft Foundry,microsoft | foundry,ga,catalogue,false,foundry-gpt5-5-2026-04-24,2026-04-24,day,2026-07-28,,0
gpt-5-5,GPT-5.5,OpenAI,openai,OpenAI,,ga,not_applicable,false,openai-gpt5-5-2026-04-23,2026-04-23,day,2026-07-28,,0
gpt-5-5,GPT-5.5,OpenAI,copilot-studio,Microsoft Copilot Studio,microsoft | copilot | studio,public_preview,selectable,false,studio-gpt5-5-reasoning-2026-04-27,2026-04-27,day,2026-07-28,,0
gpt-5-5-instant,GPT-5.5 Instant,OpenAI,chatgpt,ChatGPT,,ga,not_applicable,false,openai-gpt5-5-instant-2026-05-05,2026-05-05,day,2026-07-28,,0
gpt-5-5-instant,GPT-5.5 Instant,OpenAI,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,ga,selectable,false,m365-gpt5-5-instant-2026-05-07,2026-05-07,day,2026-07-28,,0
gpt-5-5-instant,GPT-5.5 Instant,OpenAI,microsoft-foundry,Microsoft Foundry,microsoft | foundry,ga,catalogue,false,foundry-gpt5-5-instant-2026-05-07,2026-05-07,day,2026-07-28,,0
gpt-5-5-instant,GPT-5.5 Instant,OpenAI,copilot-studio,Microsoft Copilot Studio,microsoft | copilot | studio,ga,selectable,false,studio-gpt5-5-chat-ga-2026-06,2026-06,month,2026-07-28,,0
gpt-5-5-thinking,GPT-5.5 Thinking,OpenAI,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,ga,selectable,false,m365-gpt5-5-thinking-2026-04-27,2026-04-27,day,2026-07-28,,0
gpt-5-5-thinking,GPT-5.5 Thinking,OpenAI,openai,OpenAI,,ga,not_applicable,false,openai-gpt5-5-thinking-2026-04-23,2026-04-23,day,2026-07-28,,0
gpt-5-6-luna,GPT-5.6 Luna,OpenAI,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,ga,selectable,false,github-gpt5-6-luna-2026-07-09,2026-07-09,day,2026-07-28,,0
gpt-5-6-luna,GPT-5.6 Luna,OpenAI,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,ga,selectable,false,m365-gpt5-6-2026-07-09,2026-07-09,day,2026-07-28,,0
gpt-5-6-luna,GPT-5.6 Luna,OpenAI,microsoft-foundry,Microsoft Foundry,microsoft | foundry,ga,catalogue,false,foundry-gpt5-6-2026-07-09,2026-07-09,day,2026-07-28,,0
gpt-5-6-luna,GPT-5.6 Luna,OpenAI,openai,OpenAI,,ga,not_applicable,false,openai-gpt5-6-2026-07-09,2026-07-09,day,2026-07-28,,0
gpt-5-6-sol,GPT-5.6 Sol,OpenAI,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,ga,selectable,false,github-gpt5-6-sol-2026-07-09,2026-07-09,day,2026-07-28,,0
