model_id,model,vendor,tier,measure,baseline_event,baseline_date,baseline_lifecycle,first_event,first_date,first_surface,first_exposure,first_lifecycle,lag_days_min,lag_days_max,certainty
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,foundry,selectable_or_default,anthropic-claude3-5-sonnet-2024-06-21,2024-06-21,ga,,,,,,,,not_recorded
claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,microsoft,any_exposure,anthropic-claude3-7-sonnet-2025-02-24,2025-02-24,ga,github-claude3-7-preview-2025-02-24,2025-02-24,github-copilot,selectable,public_preview,0,0,exact
claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,microsoft,selectable_or_default,anthropic-claude3-7-sonnet-2025-02-24,2025-02-24,ga,github-claude3-7-preview-2025-02-24,2025-02-24,github-copilot,selectable,public_preview,0,0,exact
claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,copilot,any_exposure,anthropic-claude3-7-sonnet-2025-02-24,2025-02-24,ga,github-claude3-7-preview-2025-02-24,2025-02-24,github-copilot,selectable,public_preview,0,0,exact
claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,copilot,selectable_or_default,anthropic-claude3-7-sonnet-2025-02-24,2025-02-24,ga,github-claude3-7-preview-2025-02-24,2025-02-24,github-copilot,selectable,public_preview,0,0,exact
claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,m365,any_exposure,anthropic-claude3-7-sonnet-2025-02-24,2025-02-24,ga,,,,,,,,not_recorded
claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,m365,selectable_or_default,anthropic-claude3-7-sonnet-2025-02-24,2025-02-24,ga,,,,,,,,not_recorded
claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,studio,any_exposure,anthropic-claude3-7-sonnet-2025-02-24,2025-02-24,ga,,,,,,,,not_recorded
claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,studio,selectable_or_default,anthropic-claude3-7-sonnet-2025-02-24,2025-02-24,ga,,,,,,,,not_recorded
claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,github_copilot,any_exposure,anthropic-claude3-7-sonnet-2025-02-24,2025-02-24,ga,github-claude3-7-preview-2025-02-24,2025-02-24,github-copilot,selectable,public_preview,0,0,exact
claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,github_copilot,selectable_or_default,anthropic-claude3-7-sonnet-2025-02-24,2025-02-24,ga,github-claude3-7-preview-2025-02-24,2025-02-24,github-copilot,selectable,public_preview,0,0,exact
claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,foundry,any_exposure,anthropic-claude3-7-sonnet-2025-02-24,2025-02-24,ga,,,,,,,,not_recorded
claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,foundry,selectable_or_default,anthropic-claude3-7-sonnet-2025-02-24,2025-02-24,ga,,,,,,,,not_recorded
claude-3-haiku,Claude 3 Haiku,Anthropic,microsoft,any_exposure,anthropic-claude3-haiku-2024-03-13,2024-03-13,ga,,,,,,,,not_recorded
claude-3-haiku,Claude 3 Haiku,Anthropic,microsoft,selectable_or_default,anthropic-claude3-haiku-2024-03-13,2024-03-13,ga,,,,,,,,not_recorded
claude-3-haiku,Claude 3 Haiku,Anthropic,copilot,any_exposure,anthropic-claude3-haiku-2024-03-13,2024-03-13,ga,,,,,,,,not_recorded
claude-3-haiku,Claude 3 Haiku,Anthropic,copilot,selectable_or_default,anthropic-claude3-haiku-2024-03-13,2024-03-13,ga,,,,,,,,not_recorded
claude-3-haiku,Claude 3 Haiku,Anthropic,m365,any_exposure,anthropic-claude3-haiku-2024-03-13,2024-03-13,ga,,,,,,,,not_recorded
